Customer_ID,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Internet_Service,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn
CUST0001,Female,0,Yes,Yes,48,Yes,DSL,Month-to-month,Yes,Bank transfer,71.51,3438.62,Yes
CUST0002,Male,0,No,No,66,Yes,DSL,Month-to-month,Yes,Mailed check,67.47,4534.39,No
CUST0003,Female,1,No,No,70,Yes,DSL,One year,Yes,Mailed check,66.75,4766.55,No
CUST0004,Female,0,Yes,No,28,Yes,DSL,Month-to-month,Yes,Bank transfer,73.2,2114.48,Yes
CUST0005,Female,0,Yes,No,26,Yes,No,Month-to-month,No,Credit card,43.54,1227.5,No
CUST0006,Male,0,Yes,No,25,Yes,No,Two year,No,Mailed check,35.16,894.14,No
CUST0007,Female,1,No,No,12,Yes,Fiber optic,Month-to-month,No,Mailed check,96.0,1199.74,No
CUST0008,Female,0,No,No,5,Yes,DSL,Month-to-month,No,Bank transfer,74.88,434.58,Yes
CUST0009,Female,0,No,Yes,48,Yes,DSL,Month-to-month,Yes,Credit card,78.97,3848.73,No
CUST0010,Male,0,No,No,37,Yes,Fiber optic,Month-to-month,No,Mailed check,97.31,3640.62,Yes
CUST0011,Female,0,Yes,Yes,44,Yes,DSL,Month-to-month,No,Mailed check,73.5,3267.81,No
CUST0012,Female,1,Yes,No,15,Yes,DSL,Month-to-month,Yes,Credit card,74.86,1135.58,Yes
CUST0013,Female,0,Yes,No,43,Yes,DSL,Month-to-month,No,Mailed check,78.48,3413.81,Yes
CUST0014,Female,0,Yes,Yes,48,Yes,DSL,Month-to-month,No,Credit card,70.99,3423.79,Yes
CUST0015,Male,1,No,No,70,Yes,DSL,Two year,Yes,Credit card,69.9,4966.44,No
CUST0016,Female,0,No,No,46,Yes,Fiber optic,Two year,Yes,Bank transfer,85.16,3938.24,No
CUST0017,Male,0,Yes,Yes,43,Yes,DSL,One year,Yes,Electronic check,77.4,3334.06,No
CUST0018,Male,0,Yes,No,21,Yes,Fiber optic,Two year,No,Credit card,97.01,2092.45,No
CUST0019,Male,0,No,No,23,Yes,DSL,Month-to-month,No,Bank transfer,66.57,1590.63,No
CUST0020,Female,0,Yes,Yes,47,Yes,No,Two year,Yes,Electronic check,38.65,1903.74,No
CUST0021,Male,0,No,No,15,Yes,No,Month-to-month,Yes,Mailed check,36.96,612.1,No
CUST0022,Female,0,Yes,Yes,25,Yes,No,Two year,No,Electronic check,31.78,829.05,No
CUST0023,Male,1,Yes,No,36,Yes,No,Two year,Yes,Credit card,44.71,1689.86,No
CUST0024,Male,1,Yes,No,51,No,Fiber optic,One year,No,Credit card,78.22,4043.25,No
CUST0025,Male,0,Yes,No,15,No,Fiber optic,Two year,Yes,Credit card,76.01,1148.08,No
CUST0026,Male,0,Yes,No,68,Yes,DSL,One year,Yes,Credit card,73.92,5083.15,No
CUST0027,Male,0,Yes,No,21,Yes,No,Month-to-month,No,Credit card,41.08,953.48,No
CUST0028,Male,0,Yes,No,13,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,85.49,1151.0,Yes
CUST0029,Male,0,No,No,19,Yes,DSL,One year,Yes,Credit card,74.88,1452.35,No
CUST0030,Male,0,No,No,34,Yes,DSL,Month-to-month,Yes,Bank transfer,72.98,2495.67,Yes
CUST0031,Female,1,No,Yes,68,Yes,Fiber optic,One year,No,Mailed check,86.55,5900.54,No
CUST0032,Female,0,No,No,52,Yes,No,Two year,Yes,Credit card,32.59,1737.96,No
CUST0033,Male,0,No,Yes,27,Yes,DSL,Month-to-month,Yes,Credit card,73.52,2044.61,No
CUST0034,Male,0,Yes,Yes,29,Yes,No,One year,Yes,Electronic check,34.45,1007.11,Yes
CUST0035,Male,0,Yes,Yes,28,Yes,No,Two year,Yes,Mailed check,44.07,1327.92,No
CUST0036,Female,0,No,No,35,Yes,No,Two year,Yes,Credit card,42.28,1555.31,No
CUST0037,Male,0,Yes,No,8,Yes,DSL,Two year,Yes,Credit card,79.75,696.66,No
CUST0038,Female,0,No,No,16,Yes,No,Month-to-month,No,Mailed check,33.9,625.24,No
CUST0039,Female,0,No,Yes,36,Yes,DSL,Two year,No,Bank transfer,79.55,2871.82,No
CUST0040,Female,0,Yes,No,30,Yes,No,One year,Yes,Credit card,36.47,1141.78,Yes
CUST0041,Female,0,Yes,No,18,Yes,DSL,Month-to-month,No,Electronic check,70.21,1326.79,No
CUST0042,Female,0,Yes,No,2,Yes,No,Month-to-month,No,Credit card,30.76,144.39,Yes
CUST0043,Male,0,No,No,49,Yes,Fiber optic,One year,Yes,Electronic check,85.79,4282.06,No
CUST0044,Male,0,Yes,No,4,Yes,No,Month-to-month,No,Electronic check,40.38,189.23,Yes
CUST0045,Male,0,No,No,7,No,No,One year,No,Credit card,26.87,282.18,No
CUST0046,Male,0,No,No,39,Yes,DSL,One year,No,Credit card,68.4,2680.03,Yes
CUST0047,Male,0,No,Yes,13,Yes,DSL,Month-to-month,No,Electronic check,74.21,1052.24,No
CUST0048,Female,0,Yes,Yes,31,Yes,No,One year,No,Mailed check,33.79,1144.58,No
CUST0049,Male,0,Yes,No,71,Yes,Fiber optic,One year,No,Mailed check,93.66,6667.58,No
CUST0050,Male,0,No,Yes,63,Yes,Fiber optic,Month-to-month,No,Credit card,90.39,5766.78,No
CUST0051,Female,0,Yes,No,56,Yes,DSL,Month-to-month,No,Bank transfer,77.35,4335.63,No
CUST0052,Male,0,Yes,No,42,Yes,Fiber optic,Month-to-month,Yes,Mailed check,97.31,4127.56,No
CUST0053,Female,0,Yes,No,61,Yes,No,Month-to-month,Yes,Credit card,37.16,2318.39,No
CUST0054,Male,0,No,No,42,Yes,DSL,Two year,No,Mailed check,70.26,3008.98,No
CUST0055,Female,0,No,No,56,Yes,No,Month-to-month,No,Bank transfer,35.44,2078.23,No
CUST0056,Male,1,Yes,No,36,Yes,DSL,One year,Yes,Credit card,77.09,2842.47,No
CUST0057,Male,0,No,No,68,Yes,DSL,Month-to-month,No,Bank transfer,69.92,4802.69,No
CUST0058,Female,0,Yes,No,7,Yes,DSL,Month-to-month,No,Credit card,68.14,557.95,No
CUST0059,Female,0,Yes,No,54,Yes,DSL,Two year,Yes,Bank transfer,66.27,3673.63,No
CUST0060,Female,0,Yes,No,1,Yes,Fiber optic,One year,Yes,Mailed check,92.0,94.21,No
CUST0061,Female,0,Yes,No,44,Yes,No,Month-to-month,Yes,Mailed check,37.23,1736.37,Yes
CUST0062,Female,0,No,No,45,Yes,No,Month-to-month,No,Bank transfer,42.61,1926.06,No
CUST0063,Female,0,No,No,47,Yes,No,Month-to-month,No,Bank transfer,33.32,1647.48,No
CUST0064,Female,1,No,No,13,Yes,DSL,Month-to-month,Yes,Bank transfer,70.71,947.26,No
CUST0065,Female,0,Yes,No,22,Yes,Fiber optic,One year,Yes,Credit card,97.13,2150.08,No
CUST0066,Male,0,Yes,No,21,No,No,Month-to-month,No,Mailed check,32.35,723.34,No
